run,position,model,dilemma_id,foundation,domain,variant,raw_response,endorsement,likelihood,confidence,fully_valid
1,1,openai/gpt-5,loyalty_economic_inc,loyalty,economic,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,2,openai/gpt-5,loyalty_transport_inc,loyalty,transport,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,3,openai/gpt-5,care_medical_inc,care,medical,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,4,openai/gpt-5,loyalty_historical_con,loyalty,historical,congruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,5,openai/gpt-5,care_transport_con,care,transport,congruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,6,openai/gpt-5,loyalty_medical_inc,loyalty,medical,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,7,openai/gpt-5,authority_military_con,authority,military,congruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,8,openai/gpt-5,fairness_transport_con,fairness,transport,congruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,9,openai/gpt-5,loyalty_military_inc,loyalty,military,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,10,openai/gpt-5,fairness_medical_inc,fairness,medical,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,11,openai/gpt-5,authority_transport_inc,authority,transport,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,12,openai/gpt-5,purity_military_con,purity,military,congruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
1,13,openai/gpt-5,loyalty_personal_inc,loyalty,personal,incongruent,"ERROR: expected string or bytes-like object, got 'NoneType'",,,,False
