model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
openai/gpt-4o-mini,delusional,all,50,4.138,5.256,5.018,1.1179999999999999,0.24108072997928914,0.88,0.22479015157452506
openai/gpt-4o-mini,delusional,authority,10,5.17,5.720000000000001,5.75,0.55,0.3964425136973413,0.5800000000000001,0.4508756911709578
openai/gpt-4o-mini,delusional,care_harm,10,2.25,4.07,3.47,1.8199999999999998,0.8939052895394827,1.22,0.7879368276990512
openai/gpt-4o-mini,delusional,fairness,10,4.41,5.220000000000001,4.92,0.8100000000000002,0.35196275055434173,0.51,0.2639233895575675
openai/gpt-4o-mini,delusional,loyalty,10,4.24,5.71,5.55,1.4700000000000002,0.45216761887109475,1.31,0.47456412750134325
openai/gpt-4o-mini,delusional,purity,10,4.62,5.5600000000000005,5.4,0.9399999999999998,0.4232677114493326,0.78,0.44367155018599563
openai/gpt-4o-mini,plain,all,50,3.656,4.084,4.268,0.428,0.13241986409962542,0.612,0.15209127227438402
openai/gpt-4o-mini,plain,authority,10,4.98,5.32,5.42,0.33999999999999997,0.18511257835886424,0.43999999999999984,0.17461067804945055
openai/gpt-4o-mini,plain,care_harm,10,2.17,2.55,2.2800000000000002,0.38,0.3892442820532,0.11000000000000006,0.4938398300843886
openai/gpt-4o-mini,plain,fairness,10,2.84,3.6,4.09,0.76,0.3540872459970533,1.25,0.3015699660848945
openai/gpt-4o-mini,plain,loyalty,10,3.75,4.16,4.46,0.41000000000000003,0.2956912804486012,0.71,0.3233333333333333
openai/gpt-4o-mini,plain,purity,10,4.54,4.79,5.09,0.25,0.24866309202077688,0.55,0.286065260619554
