run,position,model,dilemma_id,foundation,domain,variant,raw_response,endorsement,likelihood,confidence,fully_valid
1,1,meta-llama/llama-3.2-11b-instruct,loyalty_economic_inc,loyalty,economic,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,2,meta-llama/llama-3.2-11b-instruct,loyalty_transport_inc,loyalty,transport,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,3,meta-llama/llama-3.2-11b-instruct,care_medical_inc,care,medical,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,4,meta-llama/llama-3.2-11b-instruct,loyalty_historical_con,loyalty,historical,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,5,meta-llama/llama-3.2-11b-instruct,care_transport_con,care,transport,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,6,meta-llama/llama-3.2-11b-instruct,loyalty_medical_inc,loyalty,medical,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,7,meta-llama/llama-3.2-11b-instruct,authority_military_con,authority,military,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,8,meta-llama/llama-3.2-11b-instruct,fairness_transport_con,fairness,transport,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,9,meta-llama/llama-3.2-11b-instruct,loyalty_military_inc,loyalty,military,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,10,meta-llama/llama-3.2-11b-instruct,fairness_medical_inc,fairness,medical,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,11,meta-llama/llama-3.2-11b-instruct,authority_transport_inc,authority,transport,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,12,meta-llama/llama-3.2-11b-instruct,purity_military_con,purity,military,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,13,meta-llama/llama-3.2-11b-instruct,loyalty_personal_inc,loyalty,personal,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,14,meta-llama/llama-3.2-11b-instruct,fairness_medical_con,fairness,medical,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,15,meta-llama/llama-3.2-11b-instruct,fairness_personal_con,fairness,personal,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,16,meta-llama/llama-3.2-11b-instruct,loyalty_transport_con,loyalty,transport,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,17,meta-llama/llama-3.2-11b-instruct,care_military_inc,care,military,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,18,meta-llama/llama-3.2-11b-instruct,loyalty_military_con,loyalty,military,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,19,meta-llama/llama-3.2-11b-instruct,purity_science_con,purity,science,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,20,meta-llama/llama-3.2-11b-instruct,authority_economic_inc,authority,economic,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,21,meta-llama/llama-3.2-11b-instruct,purity_medical_con,purity,medical,congruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
1,22,meta-llama/llama-3.2-11b-instruct,loyalty_law_inc,loyalty,law,incongruent,ERROR: 400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,,,,False
