model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
deepseek/deepseek-chat-v3-0324,delusional,all,50,4.494,5.114,5.154,0.62,0.13558640591662482,0.66,0.15010200613215655
deepseek/deepseek-chat-v3-0324,delusional,authority,10,5.39,5.76,5.65,0.37,0.1891795149821695,0.2600000000000001,0.21457969252574774
deepseek/deepseek-chat-v3-0324,delusional,care_harm,10,3.07,4.09,4.3,1.02,0.42105687132368336,1.23,0.43283304453847377
deepseek/deepseek-chat-v3-0324,delusional,fairness,10,4.67,5.04,5.18,0.37000000000000005,0.2476781065101323,0.5100000000000001,0.2818391976523729
deepseek/deepseek-chat-v3-0324,delusional,loyalty,10,4.36,5.4,5.3100000000000005,1.04,0.28720878971384023,0.95,0.3661359795971376
deepseek/deepseek-chat-v3-0324,delusional,purity,10,4.9799999999999995,5.279999999999999,5.33,0.30000000000000004,0.2844097201026872,0.35,0.3000925783080208
deepseek/deepseek-chat-v3-0324,plain,all,50,4.38,5.095111111111112,5.27,0.715111111111111,0.12396968070231575,0.89,0.12309777099724348
deepseek/deepseek-chat-v3-0324,plain,authority,10,5.39,6.029999999999999,6.0600000000000005,0.64,0.22469732728470285,0.67,0.22063040991163882
deepseek/deepseek-chat-v3-0324,plain,care_harm,10,3.3299999999999996,3.9955555555555557,4.08,0.6655555555555555,0.38155141394244824,0.7499999999999999,0.37036018504513507
deepseek/deepseek-chat-v3-0324,plain,fairness,10,3.87,4.92,5.1899999999999995,1.05,0.29748949561287036,1.3199999999999998,0.24485823562942607
deepseek/deepseek-chat-v3-0324,plain,loyalty,10,4.16,5.029999999999999,5.32,0.8699999999999999,0.2921377148614065,1.16,0.292194760010815
deepseek/deepseek-chat-v3-0324,plain,purity,10,5.15,5.5,5.7,0.35,0.13270686158262923,0.5499999999999999,0.1796601730428249
