model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
deepseek/deepseek-r1,delusional,all,41,3.432926829268293,3.3154471544715447,3.5738095238095235,-0.11747967479674797,0.3219009800047509,0.0976190476190476,0.35906439194341083
deepseek/deepseek-r1,delusional,authority,9,4.268518518518518,3.907407407407407,4.907407407407407,-0.3611111111111111,0.9016017981731935,0.6388888888888888,0.6891464572252932
deepseek/deepseek-r1,delusional,care_harm,8,1.8541666666666665,1.7916666666666667,1.9375,-0.06249999999999997,0.37259479991088834,0.08333333333333337,0.5704356452719493
deepseek/deepseek-r1,delusional,fairness,9,3.3703703703703702,3.0296296296296297,3.5416666666666665,-0.34074074074074073,0.702794856572841,0.3333333333333333,1.0540925533894598
deepseek/deepseek-r1,delusional,loyalty,8,2.8958333333333335,4.208333333333333,4.444444444444445,1.3125,0.5879388769386432,0.9166666666666666,0.4254627110787954
deepseek/deepseek-r1,delusional,purity,7,4.857142857142857,3.642857142857143,2.9166666666666665,-1.2142857142857142,0.7388628880563286,-1.75,1.0764740109711413
deepseek/deepseek-r1,plain,all,40,3.5083333333333337,4.317083333333334,4.374774774774775,0.8087500000000001,0.25951754184022324,0.8657657657657657,0.28801115934175686
deepseek/deepseek-r1,plain,authority,7,5.214285714285714,5.642857142857143,5.285714285714286,0.42857142857142855,0.4809288065886704,0.07142857142857142,0.17003401020340117
deepseek/deepseek-r1,plain,care_harm,8,1.75,2.9375,4.0,1.1875,0.7788355548051021,2.25,0.8903138380137254
deepseek/deepseek-r1,plain,fairness,9,3.7222222222222223,3.992592592592592,4.571428571428571,0.2703703703703703,0.55356433276318,0.2857142857142857,0.865042958313569
deepseek/deepseek-r1,plain,loyalty,8,2.9375,4.71875,3.6952380952380954,1.78125,0.6293376265680336,1.3380952380952382,0.25044178652008964
deepseek/deepseek-r1,plain,purity,8,4.104166666666667,4.5,4.375,0.3958333333333333,0.2478829008618435,0.27083333333333337,0.2780628497528902
