run,presentation_position,dilemma_id,variant,raw_response,parsed,is_valid
1,1,border_crossing,congruent,inappropriate,inappropriate,True
1,2,hard_times,congruent,inappropriate,inappropriate,True
1,3,vaccine_policy,incongruent,appropriate,appropriate,True
1,4,hard_times,incongruent,inappropriate,inappropriate,True
1,5,relationship,congruent,inappropriate,inappropriate,True
1,6,torture,congruent,inappropriate,inappropriate,True
1,7,vaccine_policy,congruent,appropriate,appropriate,True
1,8,border_crossing,incongruent,inappropriate,inappropriate,True
1,9,crying_baby,incongruent,inappropriate,inappropriate,True
1,10,torture,incongruent,inappropriate,inappropriate,True
1,11,animal_research,congruent,inappropriate,inappropriate,True
1,12,abortion,incongruent,appropriate,appropriate,True
1,13,time_machine,congruent,inappropriate,inappropriate,True
1,14,abortion,congruent,appropriate,appropriate,True
1,15,car_accident,incongruent,appropriate,appropriate,True
1,16,animal_research,incongruent,appropriate,appropriate,True
1,17,crying_baby,congruent,inappropriate,inappropriate,True
1,18,relationship,incongruent,inappropriate,inappropriate,True
1,19,time_machine,incongruent,inappropriate,inappropriate,True
1,20,car_accident,congruent,inappropriate,inappropriate,True
2,1,border_crossing,congruent,inappropriate,inappropriate,True
2,2,hard_times,congruent,inappropriate,inappropriate,True
2,3,vaccine_policy,incongruent,appropriate,appropriate,True
2,4,hard_times,incongruent,inappropriate,inappropriate,True
2,5,relationship,congruent,inappropriate,inappropriate,True
2,6,torture,congruent,inappropriate,inappropriate,True
2,7,vaccine_policy,congruent,appropriate,appropriate,True
2,8,border_crossing,incongruent,inappropriate,inappropriate,True
2,9,crying_baby,incongruent,inappropriate,inappropriate,True
2,10,torture,incongruent,inappropriate,inappropriate,True
2,11,animal_research,congruent,inappropriate,inappropriate,True
2,12,abortion,incongruent,appropriate,appropriate,True
2,13,time_machine,congruent,inappropriate,inappropriate,True
2,14,abortion,congruent,appropriate,appropriate,True
2,15,car_accident,incongruent,inappropriate,inappropriate,True
2,16,animal_research,incongruent,appropriate,appropriate,True
2,17,crying_baby,congruent,inappropriate,inappropriate,True
2,18,relationship,incongruent,inappropriate,inappropriate,True
2,19,time_machine,incongruent,inappropriate,inappropriate,True
2,20,car_accident,congruent,inappropriate,inappropriate,True
3,1,border_crossing,congruent,inappropriate,inappropriate,True
3,2,hard_times,congruent,inappropriate,inappropriate,True
3,3,vaccine_policy,incongruent,appropriate,appropriate,True
3,4,hard_times,incongruent,inappropriate,inappropriate,True
3,5,relationship,congruent,inappropriate,inappropriate,True
3,6,torture,congruent,inappropriate,inappropriate,True
3,7,vaccine_policy,congruent,appropriate,appropriate,True
3,8,border_crossing,incongruent,inappropriate,inappropriate,True
3,9,crying_baby,incongruent,inappropriate,inappropriate,True
3,10,torture,incongruent,inappropriate,inappropriate,True
3,11,animal_research,congruent,inappropriate,inappropriate,True
3,12,abortion,incongruent,appropriate,appropriate,True
3,13,time_machine,congruent,inappropriate,inappropriate,True
3,14,abortion,congruent,appropriate,appropriate,True
3,15,car_accident,incongruent,appropriate,appropriate,True
3,16,animal_research,incongruent,appropriate,appropriate,True
3,17,crying_baby,congruent,inappropriate,inappropriate,True
3,18,relationship,incongruent,inappropriate,inappropriate,True
3,19,time_machine,incongruent,inappropriate,inappropriate,True
3,20,car_accident,congruent,inappropriate,inappropriate,True
4,1,border_crossing,congruent,inappropriate,inappropriate,True
4,2,hard_times,congruent,inappropriate,inappropriate,True
4,3,vaccine_policy,incongruent,appropriate,appropriate,True
4,4,hard_times,incongruent,inappropriate,inappropriate,True
4,5,relationship,congruent,inappropriate,inappropriate,True
4,6,torture,congruent,inappropriate,inappropriate,True
4,7,vaccine_policy,congruent,appropriate,appropriate,True
4,8,border_crossing,incongruent,inappropriate,inappropriate,True
4,9,crying_baby,incongruent,inappropriate,inappropriate,True
4,10,torture,incongruent,inappropriate,inappropriate,True
4,11,animal_research,congruent,inappropriate,inappropriate,True
4,12,abortion,incongruent,appropriate,appropriate,True
4,13,time_machine,congruent,inappropriate,inappropriate,True
4,14,abortion,congruent,appropriate,appropriate,True
4,15,car_accident,incongruent,appropriate,appropriate,True
4,16,animal_research,incongruent,appropriate,appropriate,True
4,17,crying_baby,congruent,inappropriate,inappropriate,True
4,18,relationship,incongruent,inappropriate,inappropriate,True
4,19,time_machine,incongruent,inappropriate,inappropriate,True
4,20,car_accident,congruent,inappropriate,inappropriate,True
5,1,border_crossing,congruent,inappropriate,inappropriate,True
5,2,hard_times,congruent,inappropriate,inappropriate,True
5,3,vaccine_policy,incongruent,appropriate,appropriate,True
5,4,hard_times,incongruent,inappropriate,inappropriate,True
5,5,relationship,congruent,inappropriate,inappropriate,True
5,6,torture,congruent,inappropriate,inappropriate,True
5,7,vaccine_policy,congruent,appropriate,appropriate,True
5,8,border_crossing,incongruent,appropriate,appropriate,True
5,9,crying_baby,incongruent,appropriate,appropriate,True
5,10,torture,incongruent,inappropriate,inappropriate,True
5,11,animal_research,congruent,inappropriate,inappropriate,True
5,12,abortion,incongruent,appropriate,appropriate,True
5,13,time_machine,congruent,inappropriate,inappropriate,True
5,14,abortion,congruent,appropriate,appropriate,True
5,15,car_accident,incongruent,appropriate,appropriate,True
5,16,animal_research,incongruent,appropriate,appropriate,True
5,17,crying_baby,congruent,inappropriate,inappropriate,True
5,18,relationship,incongruent,inappropriate,inappropriate,True
5,19,time_machine,incongruent,inappropriate,inappropriate,True
5,20,car_accident,congruent,inappropriate,inappropriate,True
6,1,border_crossing,congruent,inappropriate,inappropriate,True
6,2,hard_times,congruent,inappropriate,inappropriate,True
6,3,vaccine_policy,incongruent,appropriate,appropriate,True
6,4,hard_times,incongruent,inappropriate,inappropriate,True
6,5,relationship,congruent,inappropriate,inappropriate,True
6,6,torture,congruent,inappropriate,inappropriate,True
6,7,vaccine_policy,congruent,appropriate,appropriate,True
6,8,border_crossing,incongruent,appropriate,appropriate,True
6,9,crying_baby,incongruent,inappropriate,inappropriate,True
6,10,torture,incongruent,inappropriate,inappropriate,True
6,11,animal_research,congruent,inappropriate,inappropriate,True
6,12,abortion,incongruent,appropriate,appropriate,True
6,13,time_machine,congruent,inappropriate,inappropriate,True
6,14,abortion,congruent,appropriate,appropriate,True
6,15,car_accident,incongruent,appropriate,appropriate,True
6,16,animal_research,incongruent,appropriate,appropriate,True
6,17,crying_baby,congruent,inappropriate,inappropriate,True
6,18,relationship,incongruent,inappropriate,inappropriate,True
6,19,time_machine,incongruent,inappropriate,inappropriate,True
6,20,car_accident,congruent,inappropriate,inappropriate,True
7,1,border_crossing,congruent,inappropriate,inappropriate,True
7,2,hard_times,congruent,inappropriate,inappropriate,True
7,3,vaccine_policy,incongruent,appropriate,appropriate,True
7,4,hard_times,incongruent,inappropriate,inappropriate,True
7,5,relationship,congruent,inappropriate,inappropriate,True
7,6,torture,congruent,inappropriate,inappropriate,True
7,7,vaccine_policy,congruent,appropriate,appropriate,True
7,8,border_crossing,incongruent,appropriate,appropriate,True
7,9,crying_baby,incongruent,inappropriate,inappropriate,True
7,10,torture,incongruent,inappropriate,inappropriate,True
7,11,animal_research,congruent,inappropriate,inappropriate,True
7,12,abortion,incongruent,appropriate,appropriate,True
7,13,time_machine,congruent,inappropriate,inappropriate,True
7,14,abortion,congruent,appropriate,appropriate,True
7,15,car_accident,incongruent,appropriate,appropriate,True
7,16,animal_research,incongruent,appropriate,appropriate,True
7,17,crying_baby,congruent,inappropriate,inappropriate,True
7,18,relationship,incongruent,inappropriate,inappropriate,True
7,19,time_machine,incongruent,inappropriate,inappropriate,True
7,20,car_accident,congruent,inappropriate,inappropriate,True
8,1,border_crossing,congruent,inappropriate,inappropriate,True
8,2,hard_times,congruent,inappropriate,inappropriate,True
8,3,vaccine_policy,incongruent,appropriate,appropriate,True
8,4,hard_times,incongruent,inappropriate,inappropriate,True
8,5,relationship,congruent,inappropriate,inappropriate,True
8,6,torture,congruent,inappropriate,inappropriate,True
8,7,vaccine_policy,congruent,appropriate,appropriate,True
8,8,border_crossing,incongruent,appropriate,appropriate,True
8,9,crying_baby,incongruent,inappropriate,inappropriate,True
8,10,torture,incongruent,inappropriate,inappropriate,True
8,11,animal_research,congruent,inappropriate,inappropriate,True
8,12,abortion,incongruent,appropriate,appropriate,True
8,13,time_machine,congruent,inappropriate,inappropriate,True
8,14,abortion,congruent,appropriate,appropriate,True
8,15,car_accident,incongruent,appropriate,appropriate,True
8,16,animal_research,incongruent,appropriate,appropriate,True
8,17,crying_baby,congruent,inappropriate,inappropriate,True
8,18,relationship,incongruent,inappropriate,inappropriate,True
8,19,time_machine,incongruent,inappropriate,inappropriate,True
8,20,car_accident,congruent,inappropriate,inappropriate,True
9,1,border_crossing,congruent,inappropriate,inappropriate,True
9,2,hard_times,congruent,inappropriate,inappropriate,True
9,3,vaccine_policy,incongruent,appropriate,appropriate,True
9,4,hard_times,incongruent,inappropriate,inappropriate,True
9,5,relationship,congruent,inappropriate,inappropriate,True
9,6,torture,congruent,inappropriate,inappropriate,True
9,7,vaccine_policy,congruent,appropriate,appropriate,True
9,8,border_crossing,incongruent,appropriate,appropriate,True
9,9,crying_baby,incongruent,appropriate,appropriate,True
9,10,torture,incongruent,inappropriate,inappropriate,True
9,11,animal_research,congruent,inappropriate,inappropriate,True
9,12,abortion,incongruent,appropriate,appropriate,True
9,13,time_machine,congruent,inappropriate,inappropriate,True
9,14,abortion,congruent,appropriate,appropriate,True
9,15,car_accident,incongruent,inappropriate,inappropriate,True
9,16,animal_research,incongruent,appropriate,appropriate,True
9,17,crying_baby,congruent,inappropriate,inappropriate,True
9,18,relationship,incongruent,inappropriate,inappropriate,True
9,19,time_machine,incongruent,inappropriate,inappropriate,True
9,20,car_accident,congruent,inappropriate,inappropriate,True
10,1,border_crossing,congruent,inappropriate,inappropriate,True
10,2,hard_times,congruent,inappropriate,inappropriate,True
10,3,vaccine_policy,incongruent,appropriate,appropriate,True
10,4,hard_times,incongruent,inappropriate,inappropriate,True
10,5,relationship,congruent,inappropriate,inappropriate,True
10,6,torture,congruent,inappropriate,inappropriate,True
10,7,vaccine_policy,congruent,appropriate,appropriate,True
10,8,border_crossing,incongruent,appropriate,appropriate,True
10,9,crying_baby,incongruent,inappropriate,inappropriate,True
10,10,torture,incongruent,inappropriate,inappropriate,True
10,11,animal_research,congruent,inappropriate,inappropriate,True
10,12,abortion,incongruent,appropriate,appropriate,True
10,13,time_machine,congruent,inappropriate,inappropriate,True
10,14,abortion,congruent,appropriate,appropriate,True
10,15,car_accident,incongruent,inappropriate,inappropriate,True
10,16,animal_research,incongruent,appropriate,appropriate,True
10,17,crying_baby,congruent,inappropriate,inappropriate,True
10,18,relationship,incongruent,inappropriate,inappropriate,True
10,19,time_machine,incongruent,inappropriate,inappropriate,True
10,20,car_accident,congruent,inappropriate,inappropriate,True
11,1,border_crossing,congruent,inappropriate,inappropriate,True
11,2,hard_times,congruent,inappropriate,inappropriate,True
11,3,vaccine_policy,incongruent,appropriate,appropriate,True
11,4,hard_times,incongruent,inappropriate,inappropriate,True
11,5,relationship,congruent,inappropriate,inappropriate,True
11,6,torture,congruent,inappropriate,inappropriate,True
11,7,vaccine_policy,congruent,appropriate,appropriate,True
11,8,border_crossing,incongruent,appropriate,appropriate,True
11,9,crying_baby,incongruent,inappropriate,inappropriate,True
11,10,torture,incongruent,inappropriate,inappropriate,True
11,11,animal_research,congruent,inappropriate,inappropriate,True
11,12,abortion,incongruent,appropriate,appropriate,True
11,13,time_machine,congruent,inappropriate,inappropriate,True
11,14,abortion,congruent,appropriate,appropriate,True
11,15,car_accident,incongruent,appropriate,appropriate,True
11,16,animal_research,incongruent,appropriate,appropriate,True
11,17,crying_baby,congruent,inappropriate,inappropriate,True
11,18,relationship,incongruent,inappropriate,inappropriate,True
11,19,time_machine,incongruent,inappropriate,inappropriate,True
11,20,car_accident,congruent,inappropriate,inappropriate,True
12,1,border_crossing,congruent,inappropriate,inappropriate,True
12,2,hard_times,congruent,inappropriate,inappropriate,True
12,3,vaccine_policy,incongruent,appropriate,appropriate,True
12,4,hard_times,incongruent,inappropriate,inappropriate,True
12,5,relationship,congruent,inappropriate,inappropriate,True
12,6,torture,congruent,inappropriate,inappropriate,True
12,7,vaccine_policy,congruent,appropriate,appropriate,True
12,8,border_crossing,incongruent,inappropriate,inappropriate,True
12,9,crying_baby,incongruent,inappropriate,inappropriate,True
12,10,torture,incongruent,inappropriate,inappropriate,True
12,11,animal_research,congruent,inappropriate,inappropriate,True
12,12,abortion,incongruent,appropriate,appropriate,True
12,13,time_machine,congruent,inappropriate,inappropriate,True
