model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
openai/gpt-4o-mini,delusional,all,50,4.2,5.36,5.12,1.16,0.2833617432735414,0.92,0.23006653873368452
openai/gpt-4o-mini,delusional,authority,10,5.3,5.7,5.7,0.4,0.39999999999999997,0.4,0.39999999999999997
openai/gpt-4o-mini,delusional,care_harm,10,2.3,4.3,3.4,2.0,1.0540925533894598,1.1,0.7951240294584375
openai/gpt-4o-mini,delusional,fairness,10,4.4,5.2,5.0,0.8,0.3590109871423003,0.6,0.30550504633038933
openai/gpt-4o-mini,delusional,loyalty,10,4.3,6.0,5.8,1.7,0.6333333333333332,1.5,0.5426273532033236
openai/gpt-4o-mini,delusional,purity,10,4.7,5.6,5.7,0.9,0.43333333333333335,1.0,0.42163702135578385
openai/gpt-4o-mini,plain,all,50,3.62,3.96,4.22,0.34,0.1473853757317592,0.6,0.17142857142857143
openai/gpt-4o-mini,plain,authority,10,5.0,5.2,5.4,0.2,0.41633319989322654,0.4,0.16329931618554522
openai/gpt-4o-mini,plain,care_harm,10,2.2,2.2,2.3,0.0,0.14907119849998596,0.1,0.5666666666666667
openai/gpt-4o-mini,plain,fairness,10,2.7,3.6,4.2,0.9,0.40688518719112343,1.5,0.30731814857642953
openai/gpt-4o-mini,plain,loyalty,10,3.8,4.0,4.2,0.2,0.29059326290271154,0.4,0.3711842908553348
openai/gpt-4o-mini,plain,purity,10,4.4,4.8,5.0,0.4,0.30550504633038933,0.6,0.30550504633038933
