model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
meta-llama/llama-4-maverick,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,10,10,6.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-4-maverick,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,10,10,6.1,0.31622776601683794,0.09999999999999999
meta-llama/llama-4-maverick,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,10,10,2.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,10,10,3.2,0.6324555320336759,0.19999999999999998
meta-llama/llama-4-maverick,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-4-maverick,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,10,10,1.7,0.48304589153964794,0.15275252316519466
meta-llama/llama-4-maverick,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,10,10,3.2,0.6324555320336759,0.19999999999999998
meta-llama/llama-4-maverick,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-maverick,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,10,10,5.8,0.6324555320336759,0.19999999999999998
meta-llama/llama-4-maverick,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-maverick,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-maverick,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,10,10,5.0,0.0,0.0
