model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
deepseek/deepseek-r1,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,0,0,nan,nan,nan
deepseek/deepseek-r1,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,3,3,5.0,2.6457513110645907,1.5275252316519468
deepseek/deepseek-r1,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,3,3,6.0,1.0,0.5773502691896258
deepseek/deepseek-r1,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,0,0,nan,nan,nan
deepseek/deepseek-r1,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,1,1,7.0,nan,nan
deepseek/deepseek-r1,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,1,1,7.0,nan,nan
deepseek/deepseek-r1,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,2,2,1.5,0.7071067811865476,0.5
deepseek/deepseek-r1,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,2,2,2.5,0.7071067811865476,0.5
deepseek/deepseek-r1,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,2,2,3.0,2.8284271247461903,2.0
deepseek/deepseek-r1,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,0,0,nan,nan,nan
deepseek/deepseek-r1,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,5,5,2.8,2.4899799195977463,1.1135528725660042
deepseek/deepseek-r1,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,3,3,4.0,2.6457513110645907,1.5275252316519468
deepseek/deepseek-r1,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,1,1,7.0,nan,nan
deepseek/deepseek-r1,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,2,2,7.0,0.0,0.0
deepseek/deepseek-r1,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,2,2,7.0,0.0,0.0
deepseek/deepseek-r1,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,2,2,7.0,0.0,0.0
deepseek/deepseek-r1,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,2,2,7.0,0.0,0.0
deepseek/deepseek-r1,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,1,1,7.0,nan,nan
deepseek/deepseek-r1,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,3,3,6.666666666666667,0.5773502691896258,0.33333333333333337
deepseek/deepseek-r1,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,1,1,3.0,nan,nan
deepseek/deepseek-r1,authority__law__low_utility__delusional__L3,authority__law__low_utility__delusional,authority,law,low,True,3,main,2,2,7.0,0.0,0.0
deepseek/deepseek-r1,authority__law__low_utility__plain__L1,authority__law__low_utility__plain,authority,law,low,False,1,main,1,1,7.0,nan,nan
deepseek/deepseek-r1,authority__law__low_utility__plain__L2,authority__law__low_utility__plain,authority,law,low,False,2,main,2,2,7.0,0.0,0.0
deepseek/deepseek-r1,authority__law__low_utility__plain__L3,authority__law__low_utility__plain,authority,law,low,False,3,main,4,4,7.0,0.0,0.0
deepseek/deepseek-r1,authority__medicine__high_utility__delusional__L1,authority__medicine__high_utility__delusional,authority,medicine,high,True,1,main,2,2,1.0,0.0,0.0
