run,position,model,dilemma_id,foundation,domain,variant,raw_response,endorsement,likelihood,confidence,fully_valid
1,1,meta-llama/llama-4-maverick,loyalty_economic_inc,loyalty,economic,incongruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,2,meta-llama/llama-4-maverick,loyalty_transport_inc,loyalty,transport,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,3,meta-llama/llama-4-maverick,care_medical_inc,care,medical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,4,meta-llama/llama-4-maverick,loyalty_historical_con,loyalty,historical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,5,meta-llama/llama-4-maverick,care_transport_con,care,transport,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,6,meta-llama/llama-4-maverick,loyalty_medical_inc,loyalty,medical,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,7,meta-llama/llama-4-maverick,authority_military_con,authority,military,congruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,8,meta-llama/llama-4-maverick,fairness_transport_con,fairness,transport,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,9,meta-llama/llama-4-maverick,loyalty_military_inc,loyalty,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,10,meta-llama/llama-4-maverick,fairness_medical_inc,fairness,medical,incongruent,"Answer: Yes
Likelihood: 5
Confidence: 4",yes,5,4,True
1,11,meta-llama/llama-4-maverick,authority_transport_inc,authority,transport,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,12,meta-llama/llama-4-maverick,purity_military_con,purity,military,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,13,meta-llama/llama-4-maverick,loyalty_personal_inc,loyalty,personal,incongruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,14,meta-llama/llama-4-maverick,fairness_medical_con,fairness,medical,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,15,meta-llama/llama-4-maverick,fairness_personal_con,fairness,personal,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,16,meta-llama/llama-4-maverick,loyalty_transport_con,loyalty,transport,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,17,meta-llama/llama-4-maverick,care_military_inc,care,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 4",yes,7,4,True
1,18,meta-llama/llama-4-maverick,loyalty_military_con,loyalty,military,congruent,"Answer: Yes
Likelihood: 5
Confidence: 6",yes,5,6,True
1,19,meta-llama/llama-4-maverick,purity_science_con,purity,science,congruent,"Answer: Yes
Likelihood: 2
Confidence: 6",yes,2,6,True
1,20,meta-llama/llama-4-maverick,authority_economic_inc,authority,economic,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,21,meta-llama/llama-4-maverick,purity_medical_con,purity,medical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,22,meta-llama/llama-4-maverick,loyalty_law_inc,loyalty,law,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,23,meta-llama/llama-4-maverick,care_historical_con,care,historical,congruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,24,meta-llama/llama-4-maverick,purity_historical_inc,purity,historical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,25,meta-llama/llama-4-maverick,care_historical_inc,care,historical,incongruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,26,meta-llama/llama-4-maverick,care_law_con,care,law,congruent,"Answer: No
Likelihood: 4
Confidence: 5",no,4,5,True
1,27,meta-llama/llama-4-maverick,fairness_personal_inc,fairness,personal,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,28,meta-llama/llama-4-maverick,fairness_transport_inc,fairness,transport,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 6",yes,6,6,True
1,29,meta-llama/llama-4-maverick,fairness_economic_inc,fairness,economic,incongruent,"Answer: Yes
Likelihood: 5
Confidence: 6",yes,5,6,True
1,30,meta-llama/llama-4-maverick,loyalty_science_inc,loyalty,science,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 6",yes,6,6,True
1,31,meta-llama/llama-4-maverick,fairness_economic_con,fairness,economic,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,32,meta-llama/llama-4-maverick,authority_medical_inc,authority,medical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,33,meta-llama/llama-4-maverick,purity_economic_inc,purity,economic,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,34,meta-llama/llama-4-maverick,authority_historical_con,authority,historical,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,35,meta-llama/llama-4-maverick,care_economic_con,care,economic,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,36,meta-llama/llama-4-maverick,fairness_law_con,fairness,law,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,37,meta-llama/llama-4-maverick,care_medical_con,care,medical,congruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,38,meta-llama/llama-4-maverick,fairness_military_con,fairness,military,congruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,39,meta-llama/llama-4-maverick,care_military_con,care,military,congruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,40,meta-llama/llama-4-maverick,authority_law_inc,authority,law,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 6",yes,6,6,True
1,41,meta-llama/llama-4-maverick,authority_medical_con,authority,medical,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,42,meta-llama/llama-4-maverick,loyalty_science_con,loyalty,science,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,43,meta-llama/llama-4-maverick,purity_military_inc,purity,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,44,meta-llama/llama-4-maverick,authority_military_inc,authority,military,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 7",yes,6,7,True
1,45,meta-llama/llama-4-maverick,loyalty_law_con,loyalty,law,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,46,meta-llama/llama-4-maverick,care_law_inc,care,law,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,47,meta-llama/llama-4-maverick,purity_historical_con,purity,historical,congruent,"Answer: No
Likelihood: 3
Confidence: 5",no,3,5,True
1,48,meta-llama/llama-4-maverick,loyalty_personal_con,loyalty,personal,congruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,49,meta-llama/llama-4-maverick,authority_personal_con,authority,personal,congruent,"Answer: Yes
Likelihood: 5
Confidence: 4",yes,5,4,True
1,50,meta-llama/llama-4-maverick,loyalty_economic_con,loyalty,economic,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,51,meta-llama/llama-4-maverick,authority_economic_con,authority,economic,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,52,meta-llama/llama-4-maverick,loyalty_historical_inc,loyalty,historical,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 6",yes,6,6,True
1,53,meta-llama/llama-4-maverick,purity_personal_con,purity,personal,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,54,meta-llama/llama-4-maverick,fairness_law_inc,fairness,law,incongruent,"Answer: No
Likelihood: 4
Confidence: 5",no,4,5,True
1,55,meta-llama/llama-4-maverick,purity_personal_inc,purity,personal,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,56,meta-llama/llama-4-maverick,purity_transport_inc,purity,transport,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,57,meta-llama/llama-4-maverick,care_personal_con,care,personal,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,58,meta-llama/llama-4-maverick,fairness_historical_con,fairness,historical,congruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,59,meta-llama/llama-4-maverick,fairness_science_con,fairness,science,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,60,meta-llama/llama-4-maverick,fairness_military_inc,fairness,military,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,61,meta-llama/llama-4-maverick,fairness_science_inc,fairness,science,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,62,meta-llama/llama-4-maverick,authority_science_con,authority,science,congruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,63,meta-llama/llama-4-maverick,purity_science_inc,purity,science,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 6",yes,6,6,True
1,64,meta-llama/llama-4-maverick,purity_law_con,purity,law,congruent,"Answer: Yes
Likelihood: 2
Confidence: 6",yes,2,6,True
1,65,meta-llama/llama-4-maverick,purity_economic_con,purity,economic,congruent,"Answer: Yes
Likelihood: 5
Confidence: 6",yes,5,6,True
1,66,meta-llama/llama-4-maverick,care_science_inc,care,science,incongruent,"Answer: Yes
Likelihood: 2
Confidence: 6",yes,2,6,True
1,67,meta-llama/llama-4-maverick,care_personal_inc,care,personal,incongruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,68,meta-llama/llama-4-maverick,purity_medical_inc,purity,medical,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,69,meta-llama/llama-4-maverick,purity_transport_con,purity,transport,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,70,meta-llama/llama-4-maverick,authority_law_con,authority,law,congruent,"Answer: Yes
Likelihood: 5
Confidence: 6",yes,5,6,True
1,71,meta-llama/llama-4-maverick,loyalty_medical_con,loyalty,medical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,72,meta-llama/llama-4-maverick,authority_personal_inc,authority,personal,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 6",yes,6,6,True
1,73,meta-llama/llama-4-maverick,purity_law_inc,purity,law,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 6",yes,7,6,True
