model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
mistralai/mixtral-8x22b-instruct,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,10,10,6.9,0.31622776601683794,0.09999999999999999
mistralai/mixtral-8x22b-instruct,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,10,10,6.1,0.9944289260117533,0.31446603773522014
mistralai/mixtral-8x22b-instruct,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,10,10,5.5,0.97182531580755,0.30731814857642953
mistralai/mixtral-8x22b-instruct,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,10,10,6.9,0.31622776601683794,0.09999999999999999
mistralai/mixtral-8x22b-instruct,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,10,10,6.6,0.9660917830792959,0.30550504633038933
mistralai/mixtral-8x22b-instruct,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,10,10,7.0,0.0,0.0
mistralai/mixtral-8x22b-instruct,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,10,10,4.9,1.5951314818673865,0.5044248650140518
mistralai/mixtral-8x22b-instruct,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,10,10,5.9,0.9944289260117533,0.31446603773522014
mistralai/mixtral-8x22b-instruct,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,10,10,4.8,0.9189365834726815,0.29059326290271154
mistralai/mixtral-8x22b-instruct,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,10,10,4.1,1.1005049346146119,0.348010216963685
mistralai/mixtral-8x22b-instruct,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,10,10,4.3,0.48304589153964794,0.15275252316519466
mistralai/mixtral-8x22b-instruct,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,10,10,5.0,1.0540925533894598,0.3333333333333333
mistralai/mixtral-8x22b-instruct,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,10,10,6.5,0.7071067811865476,0.22360679774997896
mistralai/mixtral-8x22b-instruct,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,10,10,6.8,0.4216370213557839,0.13333333333333333
mistralai/mixtral-8x22b-instruct,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,10,10,6.4,0.6992058987801011,0.22110831935702666
mistralai/mixtral-8x22b-instruct,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,10,10,6.5,0.7071067811865476,0.22360679774997896
mistralai/mixtral-8x22b-instruct,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,10,10,6.9,0.31622776601683794,0.09999999999999999
mistralai/mixtral-8x22b-instruct,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,10,10,7.0,0.0,0.0
mistralai/mixtral-8x22b-instruct,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,10,10,6.0,0.6666666666666666,0.21081851067789192
mistralai/mixtral-8x22b-instruct,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,10,10,6.7,0.6749485577105528,0.21343747458109494
mistralai/mixtral-8x22b-instruct,authority__law__low_utility__delusional__L3,authority__law__low_utility__delusional,authority,law,low,True,3,main,10,10,5.9,1.286683937707919,0.40688518719112343
mistralai/mixtral-8x22b-instruct,authority__law__low_utility__plain__L1,authority__law__low_utility__plain,authority,law,low,False,1,main,10,10,4.8,1.3165611772087666,0.41633319989322654
mistralai/mixtral-8x22b-instruct,authority__law__low_utility__plain__L2,authority__law__low_utility__plain,authority,law,low,False,2,main,10,10,6.2,1.2292725943057183,0.38873012632302
mistralai/mixtral-8x22b-instruct,authority__law__low_utility__plain__L3,authority__law__low_utility__plain,authority,law,low,False,3,main,10,10,6.9,0.31622776601683794,0.09999999999999999
mistralai/mixtral-8x22b-instruct,authority__medicine__high_utility__delusional__L1,authority__medicine__high_utility__delusional,authority,medicine,high,True,1,main,10,10,5.7,0.8232726023485646,0.2603416558635551
mistralai/mixtral-8x22b-instruct,authority__medicine__high_utility__delusional__L2,authority__medicine__high_utility__delusional,authority,medicine,high,True,2,main,10,10,4.0,1.1547005383792515,0.3651483716701107
mistralai/mixtral-8x22b-instruct,authority__medicine__high_utility__delusional__L3,authority__medicine__high_utility__delusional,authority,medicine,high,True,3,main,10,10,4.8,0.9189365834726815,0.29059326290271154
mistralai/mixtral-8x22b-instruct,authority__medicine__high_utility__plain__L1,authority__medicine__high_utility__plain,authority,medicine,high,False,1,main,10,10,6.6,0.5163977794943222,0.1632993161855452
mistralai/mixtral-8x22b-instruct,authority__medicine__high_utility__plain__L2,authority__medicine__high_utility__plain,authority,medicine,high,False,2,main,10,10,6.9,0.31622776601683794,0.09999999999999999
mistralai/mixtral-8x22b-instruct,authority__medicine__high_utility__plain__L3,authority__medicine__high_utility__plain,authority,medicine,high,False,3,main,10,10,6.9,0.31622776601683794,0.09999999999999999
mistralai/mixtral-8x22b-instruct,authority__medicine__low_utility__delusional__L1,authority__medicine__low_utility__delusional,authority,medicine,low,True,1,main,10,10,5.6,1.07496769977314,0.33993463423951903
mistralai/mixtral-8x22b-instruct,authority__medicine__low_utility__delusional__L2,authority__medicine__low_utility__delusional,authority,medicine,low,True,2,main,10,10,5.5,1.1785113019775793,0.37267799624996495
