model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
openai/gpt-3.5-turbo,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,10,10,6.8,0.6324555320336759,0.19999999999999998
openai/gpt-3.5-turbo,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,10,10,6.2,0.6324555320336759,0.19999999999999998
openai/gpt-3.5-turbo,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,10,10,5.3,1.1595018087284057,0.36666666666666664
openai/gpt-3.5-turbo,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,10,10,4.3,0.9486832980505138,0.3
openai/gpt-3.5-turbo,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,10,10,2.1,0.31622776601683794,0.09999999999999999
openai/gpt-3.5-turbo,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,10,10,4.2,0.9189365834726815,0.29059326290271154
openai/gpt-3.5-turbo,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,10,10,4.9,0.9944289260117533,0.31446603773522014
openai/gpt-3.5-turbo,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,10,10,6.9,0.31622776601683794,0.09999999999999999
openai/gpt-3.5-turbo,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,10,10,7.0,0.0,0.0
openai/gpt-3.5-turbo,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,10,10,7.0,0.0,0.0
