model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
openai/gpt-4o,delusional,all,50,3.4686111111111115,3.867111111111111,3.742,0.39849999999999997,0.13885789245956426,0.27338888888888885,0.2167129157278944
openai/gpt-4o,delusional,authority,10,4.74,4.9,4.18,0.1600000000000001,0.27088332871880055,-0.56,0.5880665117333431
openai/gpt-4o,delusional,care_harm,10,1.8786111111111112,2.4155555555555557,2.5300000000000002,0.5369444444444444,0.36898538498794914,0.6513888888888889,0.4838427232729634
openai/gpt-4o,delusional,fairness,10,2.9722222222222223,3.7,3.66,0.7277777777777776,0.28563336596603417,0.6877777777777776,0.30143893593689164
openai/gpt-4o,delusional,loyalty,10,3.8422222222222224,4.529999999999999,4.34,0.6877777777777776,0.23078235163712257,0.49777777777777776,0.36318889415771805
openai/gpt-4o,delusional,purity,10,3.91,3.79,4.0,-0.12000000000000004,0.34762687531956504,0.09000000000000004,0.5952497141723145
openai/gpt-4o,plain,all,49,3.5858843537414966,3.991156462585034,4.114285714285714,0.4052721088435374,0.13830332234589768,0.5284013605442177,0.12952665198212904
openai/gpt-4o,plain,authority,10,4.984444444444445,5.0200000000000005,5.12,0.03555555555555552,0.28381005646056334,0.13555555555555546,0.23100424879850795
openai/gpt-4o,plain,care_harm,9,2.1222222222222222,2.2359788359788357,2.2703703703703706,0.11375661375661375,0.28587346144131703,0.1481481481481481,0.30611620842252857
openai/gpt-4o,plain,fairness,10,2.7975,3.484285714285714,3.6366666666666667,0.6867857142857143,0.3533176297691199,0.8391666666666667,0.2688626307197243
openai/gpt-4o,plain,loyalty,10,3.3888888888888884,4.42,4.51,1.031111111111111,0.3359967665923198,1.121111111111111,0.34981653039596566
openai/gpt-4o,plain,purity,10,4.49,4.62,4.85,0.12999999999999995,0.17829438827088442,0.36,0.17587874611030557
