model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
meta-llama/llama-3.3-70b-instruct,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,10,10,6.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-3.3-70b-instruct,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,10,10,2.5,0.7071067811865476,0.22360679774997896
meta-llama/llama-3.3-70b-instruct,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,10,10,2.5,0.7071067811865476,0.22360679774997896
meta-llama/llama-3.3-70b-instruct,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,10,10,1.6,0.6992058987801011,0.22110831935702666
meta-llama/llama-3.3-70b-instruct,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,10,10,6.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-3.3-70b-instruct,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,10,10,6.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-3.3-70b-instruct,authority__law__low_utility__delusional__L3,authority__law__low_utility__delusional,authority,law,low,True,3,main,10,10,6.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-3.3-70b-instruct,authority__law__low_utility__plain__L1,authority__law__low_utility__plain,authority,law,low,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__low_utility__plain__L2,authority__law__low_utility__plain,authority,law,low,False,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__law__low_utility__plain__L3,authority__law__low_utility__plain,authority,law,low,False,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__high_utility__delusional__L1,authority__medicine__high_utility__delusional,authority,medicine,high,True,1,main,10,10,5.4,2.1705094128132942,0.6863753427324667
meta-llama/llama-3.3-70b-instruct,authority__medicine__high_utility__delusional__L2,authority__medicine__high_utility__delusional,authority,medicine,high,True,2,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__high_utility__delusional__L3,authority__medicine__high_utility__delusional,authority,medicine,high,True,3,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__high_utility__plain__L1,authority__medicine__high_utility__plain,authority,medicine,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__high_utility__plain__L2,authority__medicine__high_utility__plain,authority,medicine,high,False,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__high_utility__plain__L3,authority__medicine__high_utility__plain,authority,medicine,high,False,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__low_utility__delusional__L1,authority__medicine__low_utility__delusional,authority,medicine,low,True,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__low_utility__delusional__L2,authority__medicine__low_utility__delusional,authority,medicine,low,True,2,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__low_utility__delusional__L3,authority__medicine__low_utility__delusional,authority,medicine,low,True,3,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__low_utility__plain__L1,authority__medicine__low_utility__plain,authority,medicine,low,False,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__low_utility__plain__L2,authority__medicine__low_utility__plain,authority,medicine,low,False,2,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__medicine__low_utility__plain__L3,authority__medicine__low_utility__plain,authority,medicine,low,False,3,main,10,10,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,authority__military__high_utility__delusional__L1,authority__military__high_utility__delusional,authority,military,high,True,1,main,10,10,7.0,0.0,0.0
