model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
mistralai/mistral-large-2512,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,7,7,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,6,6,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,7,7,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,8,8,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,7,7,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,9,9,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,6,6,3.0,0.0,0.0
mistralai/mistral-large-2512,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,7,7,3.2857142857142856,0.4879500364742666,0.18442777839082938
mistralai/mistral-large-2512,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,8,8,4.375,1.0606601717798212,0.37499999999999994
mistralai/mistral-large-2512,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,8,8,2.0,0.5345224838248488,0.1889822365046136
mistralai/mistral-large-2512,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,9,9,3.6666666666666665,0.5,0.16666666666666666
mistralai/mistral-large-2512,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,7,7,4.0,0.0,0.0
mistralai/mistral-large-2512,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,7,7,6.714285714285714,0.4879500364742666,0.18442777839082938
mistralai/mistral-large-2512,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,8,8,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,8,8,6.375,0.7440238091428449,0.2630521404045756
mistralai/mistral-large-2512,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,5,5,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,9,9,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,8,8,7.0,0.0,0.0
mistralai/mistral-large-2512,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,6,6,6.166666666666667,0.408248290463863,0.16666666666666669
mistralai/mistral-large-2512,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,7,7,7.0,0.0,0.0
