run,position,model,dilemma_id,foundation,domain,variant,raw_response,endorsement,likelihood,confidence,fully_valid
1,1,baidu/ernie-4.5-300b-a47b,loyalty_economic_inc,loyalty,economic,incongruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
1,2,baidu/ernie-4.5-300b-a47b,loyalty_transport_inc,loyalty,transport,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,3,baidu/ernie-4.5-300b-a47b,care_medical_inc,care,medical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,4,baidu/ernie-4.5-300b-a47b,loyalty_historical_con,loyalty,historical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,5,baidu/ernie-4.5-300b-a47b,care_transport_con,care,transport,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,6,baidu/ernie-4.5-300b-a47b,loyalty_medical_inc,loyalty,medical,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,7,baidu/ernie-4.5-300b-a47b,authority_military_con,authority,military,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,8,baidu/ernie-4.5-300b-a47b,fairness_transport_con,fairness,transport,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,9,baidu/ernie-4.5-300b-a47b,loyalty_military_inc,loyalty,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,10,baidu/ernie-4.5-300b-a47b,fairness_medical_inc,fairness,medical,incongruent,"Answer: Yes
Likelihood: 3
Confidence: 5",yes,3,5,True
1,11,baidu/ernie-4.5-300b-a47b,authority_transport_inc,authority,transport,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,12,baidu/ernie-4.5-300b-a47b,purity_military_con,purity,military,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,13,baidu/ernie-4.5-300b-a47b,loyalty_personal_inc,loyalty,personal,incongruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,14,baidu/ernie-4.5-300b-a47b,fairness_medical_con,fairness,medical,congruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,15,baidu/ernie-4.5-300b-a47b,fairness_personal_con,fairness,personal,congruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,16,baidu/ernie-4.5-300b-a47b,loyalty_transport_con,loyalty,transport,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,17,baidu/ernie-4.5-300b-a47b,care_military_inc,care,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,18,baidu/ernie-4.5-300b-a47b,loyalty_military_con,loyalty,military,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,19,baidu/ernie-4.5-300b-a47b,purity_science_con,purity,science,congruent,"Answer: Yes
Likelihood: 1
Confidence: 7",yes,1,7,True
1,20,baidu/ernie-4.5-300b-a47b,authority_economic_inc,authority,economic,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,21,baidu/ernie-4.5-300b-a47b,purity_medical_con,purity,medical,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,22,baidu/ernie-4.5-300b-a47b,loyalty_law_inc,loyalty,law,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,23,baidu/ernie-4.5-300b-a47b,care_historical_con,care,historical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,24,baidu/ernie-4.5-300b-a47b,purity_historical_inc,purity,historical,incongruent,"Answer: Yes
Likelihood: 1
Confidence: 7",yes,1,7,True
1,25,baidu/ernie-4.5-300b-a47b,care_historical_inc,care,historical,incongruent,"Answer: No  
Likelihood: 1  
Confidence: 6",no,1,6,True
1,26,baidu/ernie-4.5-300b-a47b,care_law_con,care,law,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,27,baidu/ernie-4.5-300b-a47b,fairness_personal_inc,fairness,personal,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 6",yes,7,6,True
1,28,baidu/ernie-4.5-300b-a47b,fairness_transport_inc,fairness,transport,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 6",yes,7,6,True
1,29,baidu/ernie-4.5-300b-a47b,fairness_economic_inc,fairness,economic,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 5",yes,6,5,True
1,30,baidu/ernie-4.5-300b-a47b,loyalty_science_inc,loyalty,science,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,31,baidu/ernie-4.5-300b-a47b,fairness_economic_con,fairness,economic,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,32,baidu/ernie-4.5-300b-a47b,authority_medical_inc,authority,medical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,33,baidu/ernie-4.5-300b-a47b,purity_economic_inc,purity,economic,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,34,baidu/ernie-4.5-300b-a47b,authority_historical_con,authority,historical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,35,baidu/ernie-4.5-300b-a47b,care_economic_con,care,economic,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,36,baidu/ernie-4.5-300b-a47b,fairness_law_con,fairness,law,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,37,baidu/ernie-4.5-300b-a47b,care_medical_con,care,medical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,38,baidu/ernie-4.5-300b-a47b,fairness_military_con,fairness,military,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,39,baidu/ernie-4.5-300b-a47b,care_military_con,care,military,congruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,40,baidu/ernie-4.5-300b-a47b,authority_law_inc,authority,law,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,41,baidu/ernie-4.5-300b-a47b,authority_medical_con,authority,medical,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,42,baidu/ernie-4.5-300b-a47b,loyalty_science_con,loyalty,science,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,43,baidu/ernie-4.5-300b-a47b,purity_military_inc,purity,military,incongruent,"Answer: Yes
Likelihood: 1
Confidence: 7",yes,1,7,True
1,44,baidu/ernie-4.5-300b-a47b,authority_military_inc,authority,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,45,baidu/ernie-4.5-300b-a47b,loyalty_law_con,loyalty,law,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,46,baidu/ernie-4.5-300b-a47b,care_law_inc,care,law,incongruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,47,baidu/ernie-4.5-300b-a47b,purity_historical_con,purity,historical,congruent,"Answer: Yes
Likelihood: 2
Confidence: 6",yes,2,6,True
1,48,baidu/ernie-4.5-300b-a47b,loyalty_personal_con,loyalty,personal,congruent,"Answer: No  
Likelihood: 1  
Confidence: 6",no,1,6,True
1,49,baidu/ernie-4.5-300b-a47b,authority_personal_con,authority,personal,congruent,"Answer: Yes
Likelihood: 4
Confidence: 5",yes,4,5,True
1,50,baidu/ernie-4.5-300b-a47b,loyalty_economic_con,loyalty,economic,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,51,baidu/ernie-4.5-300b-a47b,authority_economic_con,authority,economic,congruent,"Answer: No
Likelihood: 1
Confidence: 6",no,1,6,True
1,52,baidu/ernie-4.5-300b-a47b,loyalty_historical_inc,loyalty,historical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,53,baidu/ernie-4.5-300b-a47b,purity_personal_con,purity,personal,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,54,baidu/ernie-4.5-300b-a47b,fairness_law_inc,fairness,law,incongruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,55,baidu/ernie-4.5-300b-a47b,purity_personal_inc,purity,personal,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,56,baidu/ernie-4.5-300b-a47b,purity_transport_inc,purity,transport,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,57,baidu/ernie-4.5-300b-a47b,care_personal_con,care,personal,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,58,baidu/ernie-4.5-300b-a47b,fairness_historical_con,fairness,historical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,59,baidu/ernie-4.5-300b-a47b,fairness_science_con,fairness,science,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,60,baidu/ernie-4.5-300b-a47b,fairness_military_inc,fairness,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,61,baidu/ernie-4.5-300b-a47b,fairness_science_inc,fairness,science,incongruent,"Answer: Yes
Likelihood: 4
Confidence: 5",yes,4,5,True
1,62,baidu/ernie-4.5-300b-a47b,authority_science_con,authority,science,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,63,baidu/ernie-4.5-300b-a47b,purity_science_inc,purity,science,incongruent,"Answer: Yes
Likelihood: 1
Confidence: 7",yes,1,7,True
1,64,baidu/ernie-4.5-300b-a47b,purity_law_con,purity,law,congruent,"Answer: Yes
Likelihood: 2
Confidence: 6",yes,2,6,True
1,65,baidu/ernie-4.5-300b-a47b,purity_economic_con,purity,economic,congruent,"Answer: Yes
Likelihood: 2
Confidence: 6",yes,2,6,True
1,66,baidu/ernie-4.5-300b-a47b,care_science_inc,care,science,incongruent,"Answer: Yes
Likelihood: 1
Confidence: 6",yes,1,6,True
1,67,baidu/ernie-4.5-300b-a47b,care_personal_inc,care,personal,incongruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,68,baidu/ernie-4.5-300b-a47b,purity_medical_inc,purity,medical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,69,baidu/ernie-4.5-300b-a47b,purity_transport_con,purity,transport,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,70,baidu/ernie-4.5-300b-a47b,authority_law_con,authority,law,congruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,71,baidu/ernie-4.5-300b-a47b,loyalty_medical_con,loyalty,medical,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,72,baidu/ernie-4.5-300b-a47b,authority_personal_inc,authority,personal,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,73,baidu/ernie-4.5-300b-a47b,purity_law_inc,purity,law,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,74,baidu/ernie-4.5-300b-a47b,authority_science_inc,authority,science,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,75,baidu/ernie-4.5-300b-a47b,care_economic_inc,care,economic,incongruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,76,baidu/ernie-4.5-300b-a47b,care_science_con,care,science,congruent,"Answer: Yes
Likelihood: 1
Confidence: 5",yes,1,5,True
1,77,baidu/ernie-4.5-300b-a47b,care_transport_inc,care,transport,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 6",yes,7,6,True
1,78,baidu/ernie-4.5-300b-a47b,fairness_historical_inc,fairness,historical,incongruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,79,baidu/ernie-4.5-300b-a47b,authority_historical_inc,authority,historical,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
1,80,baidu/ernie-4.5-300b-a47b,authority_transport_con,authority,transport,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
2,1,baidu/ernie-4.5-300b-a47b,loyalty_economic_inc,loyalty,economic,incongruent,"Answer: No
Likelihood: 2
Confidence: 5",no,2,5,True
2,2,baidu/ernie-4.5-300b-a47b,loyalty_transport_inc,loyalty,transport,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 7",yes,7,7,True
2,3,baidu/ernie-4.5-300b-a47b,care_medical_inc,care,medical,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
