run,position,model,dilemma_id,foundation,domain,variant,raw_response,endorsement,likelihood,confidence,fully_valid
1,1,openai/gpt-4o-mini,loyalty_economic_inc,loyalty,economic,incongruent,"Answer: No  
Likelihood: 3  
Confidence: 5  ",no,3,5,True
1,2,openai/gpt-4o-mini,loyalty_transport_inc,loyalty,transport,incongruent,"Answer: Yes  
Likelihood: 1  
Confidence: 7",yes,1,7,True
1,3,openai/gpt-4o-mini,care_medical_inc,care,medical,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6",yes,2,6,True
1,4,openai/gpt-4o-mini,loyalty_historical_con,loyalty,historical,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6  ",no,2,6,True
1,5,openai/gpt-4o-mini,care_transport_con,care,transport,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7  ",no,1,7,True
1,6,openai/gpt-4o-mini,loyalty_medical_inc,loyalty,medical,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6",yes,2,6,True
1,7,openai/gpt-4o-mini,authority_military_con,authority,military,congruent,"Answer: Yes  
Likelihood: 5  
Confidence: 6",yes,5,6,True
1,8,openai/gpt-4o-mini,fairness_transport_con,fairness,transport,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,9,openai/gpt-4o-mini,loyalty_military_inc,loyalty,military,incongruent,"Answer: Yes  
Likelihood: 6  
Confidence: 7",yes,6,7,True
1,10,openai/gpt-4o-mini,fairness_medical_inc,fairness,medical,incongruent,"Answer: Yes  
Likelihood: 3  
Confidence: 5",yes,3,5,True
1,11,openai/gpt-4o-mini,authority_transport_inc,authority,transport,incongruent,"Answer: Yes  
Likelihood: 7  
Confidence: 6",yes,7,6,True
1,12,openai/gpt-4o-mini,purity_military_con,purity,military,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,13,openai/gpt-4o-mini,loyalty_personal_inc,loyalty,personal,incongruent,"Answer: No  
Likelihood: 3  
Confidence: 5  ",no,3,5,True
1,14,openai/gpt-4o-mini,fairness_medical_con,fairness,medical,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,15,openai/gpt-4o-mini,fairness_personal_con,fairness,personal,congruent,"Answer: No  
Likelihood: 3  
Confidence: 5",no,3,5,True
1,16,openai/gpt-4o-mini,loyalty_transport_con,loyalty,transport,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,17,openai/gpt-4o-mini,care_military_inc,care,military,incongruent,"Answer: No  
Likelihood: 7  
Confidence: 6",no,7,6,True
1,18,openai/gpt-4o-mini,loyalty_military_con,loyalty,military,congruent,"Answer: No  
Likelihood: 3  
Confidence: 5",no,3,5,True
1,19,openai/gpt-4o-mini,purity_science_con,purity,science,congruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6  ",yes,2,6,True
1,20,openai/gpt-4o-mini,authority_economic_inc,authority,economic,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6",yes,2,6,True
1,21,openai/gpt-4o-mini,purity_medical_con,purity,medical,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,22,openai/gpt-4o-mini,loyalty_law_inc,loyalty,law,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6  ",yes,2,6,True
1,23,openai/gpt-4o-mini,care_historical_con,care,historical,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,24,openai/gpt-4o-mini,purity_historical_inc,purity,historical,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6",yes,2,6,True
1,25,openai/gpt-4o-mini,care_historical_inc,care,historical,incongruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,26,openai/gpt-4o-mini,care_law_con,care,law,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,27,openai/gpt-4o-mini,fairness_personal_inc,fairness,personal,incongruent,"Answer: Yes  
Likelihood: 5  
Confidence: 6  ",yes,5,6,True
1,28,openai/gpt-4o-mini,fairness_transport_inc,fairness,transport,incongruent,"Answer: Yes  
Likelihood: 6  
Confidence: 6  ",yes,6,6,True
1,29,openai/gpt-4o-mini,fairness_economic_inc,fairness,economic,incongruent,"Answer: Yes  
Likelihood: 5  
Confidence: 6",yes,5,6,True
1,30,openai/gpt-4o-mini,loyalty_science_inc,loyalty,science,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6",yes,2,6,True
1,31,openai/gpt-4o-mini,fairness_economic_con,fairness,economic,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,32,openai/gpt-4o-mini,authority_medical_inc,authority,medical,incongruent,"Answer: Yes  
Likelihood: 6  
Confidence: 6",yes,6,6,True
1,33,openai/gpt-4o-mini,purity_economic_inc,purity,economic,incongruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6  ",yes,2,6,True
1,34,openai/gpt-4o-mini,authority_historical_con,authority,historical,congruent,"Answer: No  
Likelihood: 2  
Confidence: 5",no,2,5,True
1,35,openai/gpt-4o-mini,care_economic_con,care,economic,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7",no,1,7,True
1,36,openai/gpt-4o-mini,fairness_law_con,fairness,law,congruent,"Answer: No  
Likelihood: 1  
Confidence: 7  ",no,1,7,True
1,37,openai/gpt-4o-mini,care_medical_con,care,medical,congruent,"Answer: Yes  
Likelihood: 2  
Confidence: 6",yes,2,6,True
1,38,openai/gpt-4o-mini,fairness_military_con,fairness,military,congruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,39,openai/gpt-4o-mini,care_military_con,care,military,congruent,"Answer: No  
Likelihood: 1  
Confidence: 2",no,1,2,True
1,40,openai/gpt-4o-mini,authority_law_inc,authority,law,incongruent,"Answer: Yes  
Likelihood: 3  
Confidence: 5",yes,3,5,True
