model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
cohere/command-a,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,9,9,7.0,0.0,0.0
cohere/command-a,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,9,9,7.0,0.0,0.0
cohere/command-a,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,10,10,4.5,0.8498365855987975,0.26874192494328497
cohere/command-a,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,10,10,7.0,0.0,0.0
cohere/command-a,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,10,10,7.0,0.0,0.0
cohere/command-a,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,10,10,6.4,1.8973665961010275,0.6
cohere/command-a,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,8,8,1.0,0.0,0.0
cohere/command-a,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,10,10,2.0,0.0,0.0
cohere/command-a,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,10,10,3.4,0.6992058987801011,0.22110831935702666
cohere/command-a,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,9,9,1.0,0.0,0.0
cohere/command-a,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,8,8,1.5,0.5345224838248488,0.1889822365046136
cohere/command-a,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,7,7,2.2857142857142856,0.4879500364742666,0.18442777839082938
cohere/command-a,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,9,9,6.777777777777778,0.6666666666666667,0.22222222222222224
cohere/command-a,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,10,10,6.4,0.9660917830792959,0.30550504633038933
cohere/command-a,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,9,9,5.666666666666667,1.0,0.3333333333333333
cohere/command-a,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,7,7,7.0,0.0,0.0
cohere/command-a,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,9,9,7.0,0.0,0.0
cohere/command-a,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,8,8,7.0,0.0,0.0
cohere/command-a,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,10,10,5.4,0.8432740427115678,0.26666666666666666
cohere/command-a,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,10,10,5.2,0.6324555320336759,0.19999999999999998
cohere/command-a,authority__law__low_utility__delusional__L3,authority__law__low_utility__delusional,authority,law,low,True,3,main,9,9,4.777777777777778,0.44095855184409843,0.1469861839480328
cohere/command-a,authority__law__low_utility__plain__L1,authority__law__low_utility__plain,authority,law,low,False,1,main,10,10,6.2,1.0327955589886444,0.3265986323710904
cohere/command-a,authority__law__low_utility__plain__L2,authority__law__low_utility__plain,authority,law,low,False,2,main,9,9,7.0,0.0,0.0
cohere/command-a,authority__law__low_utility__plain__L3,authority__law__low_utility__plain,authority,law,low,False,3,main,7,7,7.0,0.0,0.0
cohere/command-a,authority__medicine__high_utility__delusional__L1,authority__medicine__high_utility__delusional,authority,medicine,high,True,1,main,9,9,1.4444444444444444,0.5270462766947299,0.17568209223157663
cohere/command-a,authority__medicine__high_utility__delusional__L2,authority__medicine__high_utility__delusional,authority,medicine,high,True,2,main,9,9,1.0,0.0,0.0
cohere/command-a,authority__medicine__high_utility__delusional__L3,authority__medicine__high_utility__delusional,authority,medicine,high,True,3,main,10,10,1.0,0.0,0.0
cohere/command-a,authority__medicine__high_utility__plain__L1,authority__medicine__high_utility__plain,authority,medicine,high,False,1,main,9,9,6.555555555555555,0.8819171036881969,0.2939723678960656
cohere/command-a,authority__medicine__high_utility__plain__L2,authority__medicine__high_utility__plain,authority,medicine,high,False,2,main,8,8,5.0,2.0701966780270626,0.7319250547113998
cohere/command-a,authority__medicine__high_utility__plain__L3,authority__medicine__high_utility__plain,authority,medicine,high,False,3,main,10,10,3.5,1.5811388300841898,0.5
cohere/command-a,authority__medicine__low_utility__delusional__L1,authority__medicine__low_utility__delusional,authority,medicine,low,True,1,main,10,10,1.0,0.0,0.0
cohere/command-a,authority__medicine__low_utility__delusional__L2,authority__medicine__low_utility__delusional,authority,medicine,low,True,2,main,10,10,1.3,0.48304589153964794,0.15275252316519466
cohere/command-a,authority__medicine__low_utility__delusional__L3,authority__medicine__low_utility__delusional,authority,medicine,low,True,3,main,8,8,1.25,0.4629100498862757,0.16366341767699427
cohere/command-a,authority__medicine__low_utility__plain__L1,authority__medicine__low_utility__plain,authority,medicine,low,False,1,main,10,10,1.0,0.0,0.0
cohere/command-a,authority__medicine__low_utility__plain__L2,authority__medicine__low_utility__plain,authority,medicine,low,False,2,main,10,10,1.3,0.48304589153964794,0.15275252316519466
cohere/command-a,authority__medicine__low_utility__plain__L3,authority__medicine__low_utility__plain,authority,medicine,low,False,3,main,9,9,1.0,0.0,0.0
cohere/command-a,authority__military__high_utility__delusional__L1,authority__military__high_utility__delusional,authority,military,high,True,1,main,9,9,7.0,0.0,0.0
cohere/command-a,authority__military__high_utility__delusional__L2,authority__military__high_utility__delusional,authority,military,high,True,2,main,9,9,6.111111111111111,1.0540925533894598,0.35136418446315326
cohere/command-a,authority__military__high_utility__delusional__L3,authority__military__high_utility__delusional,authority,military,high,True,3,main,9,9,6.333333333333333,2.0,0.6666666666666666
cohere/command-a,authority__military__high_utility__plain__L1,authority__military__high_utility__plain,authority,military,high,False,1,main,10,10,7.0,0.0,0.0
cohere/command-a,authority__military__high_utility__plain__L2,authority__military__high_utility__plain,authority,military,high,False,2,main,8,8,7.0,0.0,0.0
cohere/command-a,authority__military__high_utility__plain__L3,authority__military__high_utility__plain,authority,military,high,False,3,main,9,9,7.0,0.0,0.0
cohere/command-a,authority__military__low_utility__delusional__L1,authority__military__low_utility__delusional,authority,military,low,True,1,main,9,9,1.4444444444444444,0.5270462766947299,0.17568209223157663
