model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
meta-llama/llama-4-scout,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,10,10,6.4,0.9660917830792959,0.30550504633038933
meta-llama/llama-4-scout,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,10,10,5.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-4-scout,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,10,10,5.9,0.31622776601683794,0.09999999999999999
meta-llama/llama-4-scout,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,10,10,3.5,0.5270462766947299,0.16666666666666666
meta-llama/llama-4-scout,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,10,10,4.0,0.0,0.0
meta-llama/llama-4-scout,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,10,10,4.4,0.5163977794943222,0.1632993161855452
meta-llama/llama-4-scout,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-4-scout,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,10,10,4.2,0.4216370213557839,0.13333333333333333
meta-llama/llama-4-scout,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,10,10,4.0,0.0,0.0
meta-llama/llama-4-scout,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-scout,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,10,10,4.0,2.1081851067789197,0.6666666666666666
meta-llama/llama-4-scout,authority__law__high_utility__delusional__L3,authority__law__high_utility__delusional,authority,law,high,True,3,main,10,10,6.1,0.7378647873726218,0.2333333333333333
meta-llama/llama-4-scout,authority__law__high_utility__plain__L1,authority__law__high_utility__plain,authority,law,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__law__high_utility__plain__L2,authority__law__high_utility__plain,authority,law,high,False,2,main,10,10,6.6,0.8432740427115678,0.26666666666666666
meta-llama/llama-4-scout,authority__law__high_utility__plain__L3,authority__law__high_utility__plain,authority,law,high,False,3,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__law__low_utility__delusional__L1,authority__law__low_utility__delusional,authority,law,low,True,1,main,10,10,5.7,0.48304589153964794,0.15275252316519466
meta-llama/llama-4-scout,authority__law__low_utility__delusional__L2,authority__law__low_utility__delusional,authority,law,low,True,2,main,10,10,5.3,0.48304589153964794,0.15275252316519466
meta-llama/llama-4-scout,authority__law__low_utility__delusional__L3,authority__law__low_utility__delusional,authority,law,low,True,3,main,10,10,4.9,0.5676462121975466,0.1795054935711501
meta-llama/llama-4-scout,authority__law__low_utility__plain__L1,authority__law__low_utility__plain,authority,law,low,False,1,main,10,10,6.6,0.5163977794943222,0.1632993161855452
meta-llama/llama-4-scout,authority__law__low_utility__plain__L2,authority__law__low_utility__plain,authority,law,low,False,2,main,10,10,5.2,0.6324555320336759,0.19999999999999998
meta-llama/llama-4-scout,authority__law__low_utility__plain__L3,authority__law__low_utility__plain,authority,law,low,False,3,main,10,10,5.5,0.8498365855987975,0.26874192494328497
meta-llama/llama-4-scout,authority__medicine__high_utility__delusional__L1,authority__medicine__high_utility__delusional,authority,medicine,high,True,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__high_utility__delusional__L2,authority__medicine__high_utility__delusional,authority,medicine,high,True,2,main,10,10,1.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__high_utility__delusional__L3,authority__medicine__high_utility__delusional,authority,medicine,high,True,3,main,9,9,4.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__high_utility__plain__L1,authority__medicine__high_utility__plain,authority,medicine,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__high_utility__plain__L2,authority__medicine__high_utility__plain,authority,medicine,high,False,2,main,10,10,6.5,0.7071067811865476,0.22360679774997896
meta-llama/llama-4-scout,authority__medicine__high_utility__plain__L3,authority__medicine__high_utility__plain,authority,medicine,high,False,3,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__low_utility__delusional__L1,authority__medicine__low_utility__delusional,authority,medicine,low,True,1,main,10,10,5.3,0.48304589153964794,0.15275252316519466
meta-llama/llama-4-scout,authority__medicine__low_utility__delusional__L2,authority__medicine__low_utility__delusional,authority,medicine,low,True,2,main,10,10,5.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__low_utility__delusional__L3,authority__medicine__low_utility__delusional,authority,medicine,low,True,3,main,10,10,3.7,0.9486832980505138,0.3
meta-llama/llama-4-scout,authority__medicine__low_utility__plain__L1,authority__medicine__low_utility__plain,authority,medicine,low,False,1,main,10,10,1.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__low_utility__plain__L2,authority__medicine__low_utility__plain,authority,medicine,low,False,2,main,10,10,4.0,0.0,0.0
meta-llama/llama-4-scout,authority__medicine__low_utility__plain__L3,authority__medicine__low_utility__plain,authority,medicine,low,False,3,main,10,10,4.0,0.0,0.0
meta-llama/llama-4-scout,authority__military__high_utility__delusional__L1,authority__military__high_utility__delusional,authority,military,high,True,1,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-scout,authority__military__high_utility__delusional__L2,authority__military__high_utility__delusional,authority,military,high,True,2,main,10,10,6.0,0.0,0.0
meta-llama/llama-4-scout,authority__military__high_utility__delusional__L3,authority__military__high_utility__delusional,authority,military,high,True,3,main,10,10,4.0,0.0,0.0
meta-llama/llama-4-scout,authority__military__high_utility__plain__L1,authority__military__high_utility__plain,authority,military,high,False,1,main,10,10,7.0,0.0,0.0
meta-llama/llama-4-scout,authority__military__high_utility__plain__L2,authority__military__high_utility__plain,authority,military,high,False,2,main,10,10,6.0,1.0540925533894598,0.3333333333333333
meta-llama/llama-4-scout,authority__military__high_utility__plain__L3,authority__military__high_utility__plain,authority,military,high,False,3,main,10,10,7.0,0.0,0.0
