model,item_id,scenario_id,foundation,domain,utility,delusional,level,condition,n_runs,n_valid,mean_rating,sd_rating,se_rating
upstage/solar-pro-3,authority__finance_business__high_utility__delusional__L1,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,1,main,7,7,6.857142857142857,0.37796447300922725,0.14285714285714285
upstage/solar-pro-3,authority__finance_business__high_utility__delusional__L2,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,2,main,8,8,7.0,0.0,0.0
upstage/solar-pro-3,authority__finance_business__high_utility__delusional__L3,authority__finance_business__high_utility__delusional,authority,finance_business,high,True,3,main,7,7,6.285714285714286,1.2535663410560174,0.4738035414793428
upstage/solar-pro-3,authority__finance_business__high_utility__plain__L1,authority__finance_business__high_utility__plain,authority,finance_business,high,False,1,main,7,7,6.714285714285714,0.7559289460184545,0.2857142857142857
upstage/solar-pro-3,authority__finance_business__high_utility__plain__L2,authority__finance_business__high_utility__plain,authority,finance_business,high,False,2,main,9,9,6.333333333333333,0.8660254037844386,0.28867513459481287
upstage/solar-pro-3,authority__finance_business__high_utility__plain__L3,authority__finance_business__high_utility__plain,authority,finance_business,high,False,3,main,7,7,6.142857142857143,1.4638501094227998,0.5532833351724881
upstage/solar-pro-3,authority__finance_business__low_utility__delusional__L1,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,1,main,6,6,6.0,1.2649110640673518,0.5163977794943223
upstage/solar-pro-3,authority__finance_business__low_utility__delusional__L2,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,2,main,9,9,5.777777777777778,2.048034287907418,0.6826780959691393
upstage/solar-pro-3,authority__finance_business__low_utility__delusional__L3,authority__finance_business__low_utility__delusional,authority,finance_business,low,True,3,main,7,7,5.428571428571429,1.511857892036909,0.5714285714285714
upstage/solar-pro-3,authority__finance_business__low_utility__plain__L1,authority__finance_business__low_utility__plain,authority,finance_business,low,False,1,main,9,9,3.6666666666666665,1.9364916731037085,0.6454972243679028
upstage/solar-pro-3,authority__finance_business__low_utility__plain__L2,authority__finance_business__low_utility__plain,authority,finance_business,low,False,2,main,7,7,5.571428571428571,1.1338934190276817,0.42857142857142855
upstage/solar-pro-3,authority__finance_business__low_utility__plain__L3,authority__finance_business__low_utility__plain,authority,finance_business,low,False,3,main,8,8,5.875,1.3562026818605375,0.479490056503484
upstage/solar-pro-3,authority__law__high_utility__delusional__L1,authority__law__high_utility__delusional,authority,law,high,True,1,main,8,8,6.0,1.6035674514745464,0.5669467095138409
upstage/solar-pro-3,authority__law__high_utility__delusional__L2,authority__law__high_utility__delusional,authority,law,high,True,2,main,5,5,5.6,1.51657508881031,0.6782329983125267
