dilemma_id,dilemma_name,variant,n_runs,n_valid,n_inappropriate,p_inappropriate,n_appropriate,p_appropriate,n_invalid
abortion,Abortion,congruent,30,30,0,0.0,30,1.0,0
abortion,Abortion,incongruent,30,30,0,0.0,30,1.0,0
animal_research,Animal Research,congruent,30,29,10,0.3448275862068966,19,0.6551724137931034,1
animal_research,Animal Research,incongruent,30,30,0,0.0,30,1.0,0
border_crossing,Border Crossing,congruent,30,30,30,1.0,0,0.0,0
border_crossing,Border Crossing,incongruent,30,30,1,0.03333333333333333,29,0.9666666666666667,0
car_accident,Car Accident,congruent,30,30,30,1.0,0,0.0,0
car_accident,Car Accident,incongruent,30,30,24,0.8,6,0.2,0
crying_baby,Crying Baby,congruent,30,30,29,0.9666666666666667,1,0.03333333333333333,0
crying_baby,Crying Baby,incongruent,30,30,20,0.6666666666666666,10,0.3333333333333333,0
hard_times,Hard Times,congruent,30,30,30,1.0,0,0.0,0
hard_times,Hard Times,incongruent,30,30,30,1.0,0,0.0,0
relationship,Relationship,congruent,30,30,30,1.0,0,0.0,0
relationship,Relationship,incongruent,30,30,30,1.0,0,0.0,0
time_machine,Time Machine,congruent,30,30,30,1.0,0,0.0,0
time_machine,Time Machine,incongruent,30,30,30,1.0,0,0.0,0
torture,Torture,congruent,30,29,29,1.0,0,0.0,1
torture,Torture,incongruent,30,30,29,0.9666666666666667,1,0.03333333333333333,0
vaccine_policy,Vaccine Policy,congruent,30,30,0,0.0,30,1.0,0
vaccine_policy,Vaccine Policy,incongruent,30,30,0,0.0,30,1.0,0
