run,position,model,dilemma_id,foundation,domain,variant,raw_response,endorsement,likelihood,confidence,fully_valid
1,1,qwen/qwen3-235b-a22b-thinking-2507,loyalty_economic_inc,loyalty,economic,incongruent,"Answer: No
Likelihood: 6
Confidence: 7",no,6,7,True
1,2,qwen/qwen3-235b-a22b-thinking-2507,loyalty_transport_inc,loyalty,transport,incongruent,,,,,False
1,3,qwen/qwen3-235b-a22b-thinking-2507,care_medical_inc,care,medical,incongruent,"Answer: Yes
Likelihood: 2
Confidence: 7",yes,2,7,True
1,4,qwen/qwen3-235b-a22b-thinking-2507,loyalty_historical_con,loyalty,historical,congruent,"Answer: No
Likelihood: 2
Confidence: 7",no,2,7,True
1,5,qwen/qwen3-235b-a22b-thinking-2507,care_transport_con,care,transport,congruent,"Answer: No
Likelihood: 4
Confidence: 6",no,4,6,True
1,6,qwen/qwen3-235b-a22b-thinking-2507,loyalty_medical_inc,loyalty,medical,incongruent,"Answer: Yes
Likelihood: 6
Confidence: 7",yes,6,7,True
1,7,qwen/qwen3-235b-a22b-thinking-2507,authority_military_con,authority,military,congruent,"Answer: No
Likelihood: 1
Confidence: 7",no,1,7,True
1,8,qwen/qwen3-235b-a22b-thinking-2507,fairness_transport_con,fairness,transport,congruent,"Answer: No
Likelihood: 2
Confidence: 7",no,2,7,True
1,9,qwen/qwen3-235b-a22b-thinking-2507,loyalty_military_inc,loyalty,military,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,10,qwen/qwen3-235b-a22b-thinking-2507,fairness_medical_inc,fairness,medical,incongruent,"Answer: No  
Likelihood: 2  
Confidence: 6",no,2,6,True
1,11,qwen/qwen3-235b-a22b-thinking-2507,authority_transport_inc,authority,transport,incongruent,"Answer: Yes
Likelihood: 7
Confidence: 7",yes,7,7,True
1,12,qwen/qwen3-235b-a22b-thinking-2507,purity_military_con,purity,military,congruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
1,13,qwen/qwen3-235b-a22b-thinking-2507,loyalty_personal_inc,loyalty,personal,incongruent,"Answer: No
Likelihood: 2
Confidence: 6",no,2,6,True
