dilemma_id,dilemma_name,variant,n_runs,n_valid,n_inappropriate,p_inappropriate,n_appropriate,p_appropriate,n_invalid
abortion,Abortion,congruent,30,27,0,0.0,27,1.0,3
abortion,Abortion,incongruent,30,30,0,0.0,30,1.0,0
animal_research,Animal Research,congruent,30,27,25,0.9259259259259259,2,0.07407407407407407,3
animal_research,Animal Research,incongruent,30,30,0,0.0,30,1.0,0
border_crossing,Border Crossing,congruent,30,30,30,1.0,0,0.0,0
border_crossing,Border Crossing,incongruent,30,30,0,0.0,30,1.0,0
car_accident,Car Accident,congruent,30,30,30,1.0,0,0.0,0
car_accident,Car Accident,incongruent,30,29,14,0.4827586206896552,15,0.5172413793103449,1
crying_baby,Crying Baby,congruent,30,29,25,0.8620689655172413,4,0.13793103448275862,1
crying_baby,Crying Baby,incongruent,30,30,7,0.23333333333333334,23,0.7666666666666667,0
hard_times,Hard Times,congruent,30,30,30,1.0,0,0.0,0
hard_times,Hard Times,incongruent,30,30,30,1.0,0,0.0,0
relationship,Relationship,congruent,30,30,30,1.0,0,0.0,0
relationship,Relationship,incongruent,30,30,30,1.0,0,0.0,0
time_machine,Time Machine,congruent,30,30,30,1.0,0,0.0,0
time_machine,Time Machine,incongruent,30,30,29,0.9666666666666667,1,0.03333333333333333,0
torture,Torture,congruent,30,29,29,1.0,0,0.0,1
torture,Torture,incongruent,30,28,23,0.8214285714285714,5,0.17857142857142858,2
vaccine_policy,Vaccine Policy,congruent,30,29,0,0.0,29,1.0,1
vaccine_policy,Vaccine Policy,incongruent,30,29,0,0.0,29,1.0,1
