model_id,model,reasoning,congruent,se_cong,incongruent,se_incong,gap,n_runs
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,False,25.641025641025642,7.029481696951986,91.42105263157895,4.1314860777269296,65.7800269905533,50
meta-llama/llama-4-maverick,Llama 4 Maverick,False,20.8,6.239575922473232,85.90102040816326,5.306065267071029,65.10102040816327,50
openai/o3,o3,True,22.25,6.364640904729334,86.7,4.831812315933873,64.45,50
google/gemini-2.5-pro,Gemini 2.5 Pro,True,27.464285714285715,6.765133023382345,91.75,4.207555779906624,64.28571428571428,50
mistralai/mixtral-8x22b-instruct,Mixtral 8x22B,False,15.15,4.758198053669973,77.0,6.121002096606949,61.85,50
x-ai/grok-3,Grok 3,True,23.65,6.591325885061131,84.95,5.478155922177855,61.300000000000004,50
x-ai/grok-4,Grok 4,False,21.9,6.423893699027891,82.1,5.192178535905516,60.199999999999996,50
deepseek/deepseek-r1,DeepSeek R1,True,17.93697478991597,5.826422430303875,78.10822510822511,5.91888527133314,60.17125031830915,50
openai/gpt-5-chat,GPT-5,False,24.95,6.92005168944679,84.8,5.1209974989854645,59.849999999999994,50
qwen/qwen3-235b-a22b,Qwen3 235B,False,17.490816326530613,5.413109906127771,76.55,5.744110696383531,59.059183673469384,50
baidu/ernie-4.5-300b-a47b,Ernie 4.5,False,19.4,5.96279060464744,76.85,6.548786342835026,57.449999999999996,50
deepseek/deepseek-r1-0528,DeepSeek R1-0528,True,16.16670918367347,5.288310088138921,73.60612244897959,6.657936201320569,57.43941326530612,50
openai/gpt-3.5-turbo,GPT-3.5 Turbo,False,23.35,6.013824884679446,80.6,5.964940303180981,57.24999999999999,50
google/gemma-3-27b-it,Gemma 3 27B,False,22.25,6.374704618596768,78.9,6.1556519786332355,56.650000000000006,50
openai/o1,o1,True,22.85,6.627018318585803,78.17244897959183,5.984518250655198,55.32244897959183,50
openai/gpt-4o-mini,GPT-4o-mini,False,20.0,6.191391873668903,75.25,6.611833796598804,55.25,10
anthropic/claude-opus-4,Claude Opus 4,True,17.94871794871795,6.225404909403937,72.25641025641026,6.984918972200204,54.307692307692314,50
cohere/command-a,Command A,False,19.487179487179485,6.101577393325153,73.19656283566059,7.068143035997347,53.7093833484811,50
mistralai/mistral-large-2512,Mistral Large 3,False,28.3,7.11572833542637,81.9,6.065011044867022,53.60000000000001,50
openai/gpt-4o,GPT-4o,False,21.35,6.265652195573693,74.9,6.857505713842652,53.550000000000004,50
deepseek/deepseek-chat-v3-0324,DeepSeek V3,False,21.685714285714287,6.029538916757426,74.68899080908959,6.632282442845811,53.003276523375305,50
qwen/qwen3-235b-a22b-thinking-2507,Qwen3 235B (Thinking),True,14.02260509843465,5.146332740475665,66.56344617827176,6.797464682526672,52.54084107983711,50
amazon/nova-premier-v1,Nova Premier,False,17.710921466240613,5.791126055981227,68.76505724240917,7.2114331053478935,51.05413577616856,50
microsoft/phi-4,Phi-4,False,24.676874366767983,6.158830861994462,73.97066869300912,6.193159411350442,49.293794326241134,50
meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,False,32.38695652173913,7.458671908038837,78.77108843537414,6.2332267456171895,46.38413191363501,50
upstage/solar-pro-3,Solar Pro 3,False,9.121044766204882,2.725232023628853,54.81669987573404,5.4426891762622525,45.695655109529156,50
meta-llama/llama-3.2-3b-instruct,Llama 3.2 3B,False,3.225806451612903,3.225806451612904,0.0,0.0,-3.225806451612903,50
